20200521-205248,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200521-211629,INFO,31,44.55,30.41,58.11,1020.83,24.9,69.0,5.51,-10.89,2.57,1.25
20200521-211709,INFO,32,44.55,30.89,57.65,1020.84,25.0,69.0,5.89,-11.35,2.32,1.15
20200521-211749,INFO,33,45.08,31.09,56.86,1020.83,25.0,69.0,6.09,-12.14,2.3,0.97
20200521-211828,INFO,34,45.08,31.39,56.55,1020.82,25.0,69.4,6.39,-12.85,2.14,0.89
20200521-211908,INFO,35,45.08,31.45,56.06,1020.8,25.1,69.5,6.35,-13.44,2.15,0.82
20200521-212027,INFO,36,45.08,31.58,55.9,1020.81,25.1,69.4,6.48,-13.5,2.08,0.8
20200521-212107,INFO,37,45.08,31.59,56.07,1020.83,25.1,69.4,6.49,-13.33,2.08,0.82
20200521-212147,INFO,38,45.08,31.5,55.79,1020.83,25.1,69.4,6.4,-13.61,2.12,0.79
20200521-212226,INFO,39,45.08,31.63,56.37,1020.85,25.1,69.4,6.53,-13.03,2.06,0.87
20200521-212306,INFO,40,45.08,31.58,55.25,1020.86,25.1,69.4,6.48,-14.15,2.08,0.72
20200521-212346,INFO,41,45.08,31.68,55.96,1020.9,25.1,69.3,6.58,-13.34,2.04,0.82
20200521-212425,INFO,42,45.08,31.43,55.58,1020.95,25.1,69.3,6.33,-13.72,2.16,0.77
20200521-212505,INFO,43,45.08,31.65,54.96,1020.91,25.1,69.2,6.55,-14.24,2.05,0.69
20200521-212545,INFO,44,45.08,31.18,55.82,1020.93,25.1,69.2,6.08,-13.38,2.29,0.8
20200521-212624,INFO,45,45.08,31.03,56.18,1020.9,25.2,69.3,5.83,-13.12,2.41,0.85
20200521-212704,INFO,46,45.08,30.92,56.82,1020.88,25.2,69.1,5.72,-12.28,2.48,0.96
20200521-212744,INFO,47,45.08,30.87,57.26,1020.96,25.3,69.2,5.57,-11.94,2.55,1.02
20200521-212823,INFO,48,45.08,30.58,57.97,1020.87,25.3,69.2,5.28,-11.23,2.75,1.15
20200521-212903,INFO,49,45.08,30.67,57.99,1020.88,25.3,69.2,5.37,-11.21,2.68,1.15
20200521-212943,INFO,50,45.08,30.47,58.37,1020.88,25.3,69.3,5.17,-10.93,2.83,1.22
20200521-213022,INFO,51,45.08,30.34,58.3,1020.93,25.3,69.2,5.04,-10.9,2.92,1.21
20200521-213102,INFO,52,45.08,30.6,58.11,1020.9,25.3,69.3,5.3,-11.19,2.73,1.16
20200521-213142,INFO,53,45.62,30.92,57.66,1020.93,25.3,69.2,5.62,-11.54,2.62,1.04
20200521-213221,INFO,54,45.08,30.85,57.59,1020.92,25.3,69.2,5.55,-11.61,2.56,1.08
20200521-213341,INFO,55,45.08,31.19,57.41,1020.97,25.3,69.2,5.89,-11.79,2.36,1.05
20200521-213420,INFO,56,45.08,31.47,57.13,1021.0,25.3,69.0,6.17,-11.87,2.21,1.02
20200521-213500,INFO,57,45.08,31.56,56.99,1020.97,25.3,69.0,6.26,-12.01,2.16,0.99
20200521-213540,INFO,58,45.08,31.72,54.53,1020.98,25.3,69.0,6.42,-14.47,2.08,0.65
20200521-213619,INFO,59,45.08,31.74,56.0,1020.94,25.3,69.1,6.44,-13.1,2.07,0.83
20200521-213659,INFO,60,45.08,31.83,55.78,1020.94,25.2,69.1,6.63,-13.32,2.0,0.8
20200521-213739,INFO,61,45.62,31.74,55.47,1020.87,25.2,69.3,6.54,-13.83,2.12,0.71
20200521-213818,INFO,62,45.08,31.7,55.69,1020.91,25.2,69.4,6.5,-13.71,2.06,0.77
20200521-213858,INFO,63,45.08,31.83,55.35,1020.93,25.2,69.5,6.63,-14.15,2.0,0.73
20200521-213937,INFO,64,45.62,31.78,55.47,1020.94,25.2,69.5,6.58,-14.03,2.1,0.7
20200521-214017,INFO,65,45.62,31.68,55.57,1020.97,25.2,69.6,6.48,-14.03,2.15,0.71
20200521-214057,INFO,66,45.08,31.48,55.91,1021.01,25.2,69.6,6.28,-13.69,2.17,0.79
20200521-214256,INFO,67,45.08,31.56,55.76,1021.06,25.2,69.6,6.36,-13.84,2.13,0.77
20200521-214415,INFO,68,45.62,31.67,55.31,1021.17,25.2,69.5,6.47,-14.19,2.16,0.68
20200521-214455,INFO,69,45.08,31.59,55.55,1021.19,25.2,69.6,6.39,-14.05,2.11,0.75
20200521-214534,INFO,70,45.62,31.72,55.87,1021.22,25.2,69.6,6.52,-13.73,2.13,0.75
20200521-214654,INFO,71,45.62,31.59,55.34,1021.27,25.2,69.5,6.39,-14.16,2.2,0.69
20200521-214733,INFO,72,45.08,31.58,55.33,1021.29,25.2,69.6,6.38,-14.27,2.12,0.72
20200521-214813,INFO,73,45.08,31.48,55.51,1021.28,25.2,69.5,6.28,-13.99,2.17,0.75
20200521-214853,INFO,74,45.08,31.48,55.82,1021.29,25.2,69.5,6.28,-13.68,2.17,0.79
20200521-214932,INFO,75,45.62,31.36,55.88,1021.36,25.2,69.5,6.16,-13.62,2.31,0.75
20200521-215012,INFO,76,45.08,31.23,55.35,1021.33,25.2,69.5,6.03,-14.15,2.3,0.73
20200521-215052,INFO,77,45.08,31.45,56.04,1021.33,25.2,69.5,6.25,-13.46,2.18,0.81
20200521-215131,INFO,78,45.08,31.48,55.99,1021.32,25.2,69.4,6.28,-13.41,2.17,0.81
20200521-215211,INFO,79,45.62,31.5,55.87,1021.33,25.2,69.4,6.3,-13.53,2.24,0.76
20200521-215330,INFO,80,45.08,31.54,55.93,1021.36,25.2,69.5,6.34,-13.57,2.14,0.8
20200521-215450,INFO,81,45.62,31.3,56.39,1021.33,25.2,69.5,6.1,-13.11,2.35,0.82
20200521-215529,INFO,82,45.62,31.27,56.19,1021.38,25.2,69.5,6.07,-13.31,2.36,0.79
20200521-215609,INFO,83,45.08,31.34,56.13,1021.35,25.2,69.5,6.14,-13.37,2.24,0.83
20200521-215649,INFO,84,45.08,31.32,55.94,1021.41,25.2,69.5,6.12,-13.56,2.25,0.8
20200521-215728,INFO,85,45.62,31.38,57.19,1021.39,25.2,69.5,6.18,-12.31,2.3,0.94
20200521-215808,INFO,86,45.08,31.41,55.73,1021.4,25.2,69.5,6.21,-13.77,2.2,0.77
20200521-215848,INFO,87,45.62,31.32,56.24,1021.44,25.2,69.5,6.12,-13.26,2.34,0.8
20200521-215927,INFO,88,45.62,31.18,56.43,1021.42,25.2,69.6,5.98,-13.17,2.41,0.82
20200521-220007,INFO,89,45.08,31.36,56.51,1021.42,25.2,69.6,6.16,-13.09,2.23,0.87
20200521-210237,INFO,90,45.08,31.21,55.03,1020.92,25.3,66.8,5.91,-11.77,2.35,0.85
20200521-210316,INFO,91,45.08,30.65,55.66,1020.82,25.3,66.9,5.35,-11.24,2.7,0.94
20200521-210356,INFO,92,45.08,30.5,55.11,1020.81,25.3,65.7,5.2,-10.59,2.8,0.95
20200521-210436,INFO,93,45.08,30.25,55.35,1020.81,25.2,64.5,5.05,-9.15,2.94,1.12
20200521-210515,INFO,94,45.08,30.2,55.34,1020.8,25.1,64.9,5.1,-9.56,2.92,1.07
20200521-210555,INFO,95,45.08,30.34,55.42,1020.8,25.0,65.4,5.34,-9.98,2.76,1.04
20200521-210634,INFO,96,44.01,30.4,56.1,1020.8,25.0,65.6,5.4,-9.5,2.52,1.27
20200521-210714,INFO,97,45.08,30.45,56.11,1020.81,25.0,67.2,5.45,-11.09,2.68,0.99
20200521-210754,INFO,98,45.08,30.81,56.15,1020.82,25.1,67.7,5.71,-11.55,2.5,0.96
20200521-210833,INFO,99,44.55,30.72,55.41,1020.83,25.1,68.0,5.62,-12.59,2.46,0.86
20200521-210913,INFO,100,45.08,30.6,55.58,1020.79,25.1,66.2,5.5,-10.62,2.63,0.99
20200521-210953,INFO,101,45.08,30.38,55.51,1020.81,25.1,66.3,5.28,-10.79,2.78,0.97
20200521-211032,INFO,102,45.08,30.07,56.03,1020.84,25.1,65.3,4.97,-9.27,3.02,1.18
20200521-211152,INFO,103,44.01,30.03,56.74,1020.8,25.0,65.1,5.03,-8.36,2.78,1.52
