20200522-085523,INFO,____Sample,__DHT_Temp,_DHT_Humid
20200522-115116,INFO,256,23.0,82.6
20200522-115145,INFO,257,23.0,82.1
20200522-115214,INFO,258,23.0,82.0
20200522-115243,INFO,259,23.0,81.8
20200522-115312,INFO,260,23.0,81.9
20200522-115342,INFO,261,23.0,81.9
20200522-115440,INFO,262,23.0,82.9
20200522-115509,INFO,263,23.1,82.9
20200522-115538,INFO,264,23.1,83.2
20200522-115607,INFO,265,23.1,82.3
20200522-115636,INFO,266,23.1,82.0
20200522-115705,INFO,267,23.2,82.4
20200522-115734,INFO,268,23.2,82.2
20200522-115803,INFO,269,23.3,82.0
20200522-115832,INFO,270,23.3,82.3
20200522-115901,INFO,271,23.3,82.7
20200522-115930,INFO,272,23.4,82.0
20200522-115959,INFO,273,23.4,82.0
20200522-120028,INFO,274,23.4,82.4
20200522-120126,INFO,275,23.5,83.2
20200522-120156,INFO,276,23.5,82.7
20200522-120225,INFO,277,23.5,82.7
20200522-120254,INFO,278,23.5,83.1
20200522-120323,INFO,279,23.6,82.7
20200522-120352,INFO,280,23.5,81.7
20200522-120421,INFO,281,23.5,80.0
20200522-120450,INFO,282,23.5,80.6
20200522-120519,INFO,283,23.4,80.3
20200522-120548,INFO,284,23.4,80.7
20200522-120646,INFO,285,23.4,79.9
20200522-120715,INFO,286,23.4,80.1
20200522-120744,INFO,287,23.4,80.2
20200522-120911,INFO,288,23.5,82.2
20200522-120940,INFO,289,23.5,82.1
20200522-121039,INFO,290,23.6,81.0
20200522-121108,INFO,291,23.6,80.7
20200522-121137,INFO,292,23.6,79.1
20200522-121206,INFO,293,23.6,79.3
20200522-121235,INFO,294,23.6,79.0
20200522-121304,INFO,295,23.6,79.6
20200522-121333,INFO,296,23.7,79.4
20200522-121402,INFO,297,23.7,79.2
20200522-121431,INFO,298,23.6,77.6
20200522-121500,INFO,299,23.7,78.0
20200522-121529,INFO,300,23.7,79.9
20200522-121558,INFO,301,23.7,78.7
20200522-121627,INFO,302,23.7,79.0
20200522-121656,INFO,303,23.7,79.4
20200522-121725,INFO,304,23.6,79.3
20200522-121754,INFO,305,23.6,79.7
20200522-121823,INFO,306,23.6,79.3
20200522-121853,INFO,307,23.6,80.2
20200522-121922,INFO,308,23.6,80.3
20200522-121951,INFO,309,23.6,79.4
20200522-122020,INFO,310,23.6,78.2
20200522-122049,INFO,311,23.6,78.3
20200522-122118,INFO,312,23.6,77.0
20200522-122147,INFO,313,23.6,77.0
20200522-122216,INFO,314,23.6,77.8
20200522-122245,INFO,315,23.5,77.9
20200522-122314,INFO,316,23.6,77.9
20200522-122343,INFO,317,23.6,77.6
20200522-122412,INFO,318,23.5,77.2
20200522-122441,INFO,319,23.5,78.4
20200522-122510,INFO,320,23.6,78.5
20200522-122608,INFO,321,23.6,77.3
20200522-122637,INFO,322,23.6,77.8
20200522-122706,INFO,323,23.6,78.5
20200522-122736,INFO,324,23.6,78.3
20200522-122805,INFO,325,23.6,77.3
20200522-122834,INFO,326,23.6,78.5
20200522-122903,INFO,327,23.6,77.3
20200522-122932,INFO,328,23.6,77.8
20200522-123030,INFO,329,23.6,77.6
20200522-123059,INFO,330,23.6,77.5
20200522-123128,INFO,331,23.6,77.6
20200522-123157,INFO,332,23.6,77.7
20200522-123226,INFO,333,23.6,78.3
20200522-123255,INFO,334,23.6,78.3
20200522-123324,INFO,335,23.6,78.5
20200522-123353,INFO,336,23.6,77.9
20200522-123422,INFO,337,23.5,77.9
20200522-123451,INFO,338,23.5,80.1
20200522-123520,INFO,339,23.6,80.5
20200522-123550,INFO,340,23.6,80.9
20200522-123619,INFO,341,23.6,80.0
20200522-123648,INFO,342,23.6,79.1
20200522-123717,INFO,343,23.6,80.0
20200522-123746,INFO,344,23.6,81.1
20200522-123815,INFO,345,23.6,80.9
20200522-123844,INFO,346,23.6,80.5
20200522-123913,INFO,347,23.6,80.8
20200522-123942,INFO,348,23.6,80.0
20200522-124011,INFO,349,23.7,79.2
20200522-124109,INFO,350,23.6,78.0
