2020-04-15 08:03:10 - INFO: ___Sample,___Sample,_CPU_Temp,_____Temp,____Press,____Humid
2020-04-15 08:45:22 - INFO: 251,251,30.4,26.24,992.65,42.81
2020-04-15 08:45:32 - INFO: 252,252,29.86,26.24,992.66,42.28
2020-04-15 08:45:42 - INFO: 253,253,30.4,26.11,992.64,42.72
2020-04-15 08:45:52 - INFO: 254,254,29.86,26.17,992.64,42.82
2020-04-15 08:46:02 - INFO: 255,255,30.94,26.18,992.65,42.02
2020-04-15 08:46:12 - INFO: 256,256,30.4,26.17,992.66,42.56
2020-04-15 08:46:23 - INFO: 257,257,30.4,26.15,992.71,42.3
2020-04-15 08:46:33 - INFO: 258,258,29.86,26.24,992.66,42.91
2020-04-15 08:46:43 - INFO: 259,259,30.4,26.27,992.69,42.77
2020-04-15 08:46:53 - INFO: 260,260,30.4,26.17,992.65,42.38
2020-04-15 08:47:03 - INFO: 261,261,30.4,26.27,992.63,43.93
2020-04-15 08:47:13 - INFO: 262,262,30.4,26.22,992.65,42.9
2020-04-15 08:47:23 - INFO: 263,263,30.4,26.27,992.64,42.53
2020-04-15 08:47:34 - INFO: 264,264,30.4,26.17,992.66,42.57
2020-04-15 08:47:44 - INFO: 265,265,29.86,26.17,992.67,42.59
2020-04-15 08:47:54 - INFO: 266,266,30.4,26.27,992.65,42.34
2020-04-15 08:48:04 - INFO: 267,267,30.4,26.22,992.64,42.59
2020-04-15 08:48:14 - INFO: 268,268,30.4,26.18,992.66,42.79
2020-04-15 08:48:24 - INFO: 269,269,30.4,26.26,992.67,42.57
2020-04-15 08:48:34 - INFO: 270,270,30.4,26.22,992.71,42.63
2020-04-15 08:48:44 - INFO: 271,271,30.94,26.18,992.7,43.22
2020-04-15 08:48:55 - INFO: 272,272,30.4,26.22,992.66,42.81
2020-04-15 08:49:05 - INFO: 273,273,30.4,26.26,992.67,40.06
2020-04-15 08:49:15 - INFO: 274,274,30.4,26.24,992.66,43.03
2020-04-15 08:49:25 - INFO: 275,275,29.86,26.22,992.66,42.45
2020-04-15 08:49:35 - INFO: 276,276,30.4,26.17,992.66,42.58
2020-04-15 08:49:45 - INFO: 277,277,30.4,26.15,992.7,42.72
2020-04-15 08:49:55 - INFO: 278,278,30.4,26.24,992.69,42.51
2020-04-15 08:50:05 - INFO: 279,279,30.4,26.17,992.73,42.6
2020-04-15 08:50:16 - INFO: 280,280,30.4,26.13,992.67,42.31
2020-04-15 08:50:26 - INFO: 281,281,30.4,26.17,992.7,42.81
2020-04-15 08:50:36 - INFO: 282,282,30.4,26.2,992.73,42.93
2020-04-15 08:50:46 - INFO: 283,283,29.86,26.29,992.64,42.37
2020-04-15 08:50:56 - INFO: 284,284,29.86,26.17,992.67,42.56
2020-04-15 08:51:06 - INFO: 285,285,30.4,26.13,992.67,42.07
2020-04-15 08:51:16 - INFO: 286,286,30.4,26.26,992.72,42.42
2020-04-15 08:51:26 - INFO: 287,287,30.4,26.2,992.68,42.45
2020-04-15 08:51:36 - INFO: 288,288,30.94,26.2,992.66,42.67
2020-04-15 08:51:47 - INFO: 289,289,30.4,26.27,992.69,42.4
2020-04-15 08:51:57 - INFO: 290,290,30.4,26.13,992.67,42.04
2020-04-15 08:52:07 - INFO: 291,291,30.4,26.24,992.67,43.23
2020-04-15 08:52:17 - INFO: 292,292,30.4,26.17,992.64,42.68
2020-04-15 08:52:27 - INFO: 293,293,29.86,26.31,992.67,42.53
2020-04-15 08:52:37 - INFO: 294,294,30.4,26.09,992.65,42.63
2020-04-15 08:52:47 - INFO: 295,295,30.4,26.18,992.67,42.35
2020-04-15 08:52:57 - INFO: 296,296,30.4,26.22,992.69,42.8
2020-04-15 08:53:08 - INFO: 297,297,30.4,26.24,992.64,42.5
2020-04-15 08:53:18 - INFO: 298,298,30.94,26.31,992.66,42.85
2020-04-15 08:53:28 - INFO: 299,299,30.94,26.29,992.66,42.49
2020-04-15 08:53:38 - INFO: 300,300,30.4,26.26,992.64,42.5
2020-04-15 08:53:48 - INFO: 301,301,30.4,26.29,992.66,42.52
2020-04-15 08:53:58 - INFO: 302,302,29.86,26.27,992.72,42.33
2020-04-15 08:54:08 - INFO: 303,303,30.4,26.26,992.69,41.95
2020-04-15 08:54:18 - INFO: 304,304,30.4,26.27,992.67,42.05
2020-04-15 08:54:29 - INFO: 305,305,30.4,26.31,992.69,42.46
2020-04-15 08:54:39 - INFO: 306,306,30.4,26.2,992.71,42.33
2020-04-15 08:54:49 - INFO: 307,307,30.4,26.33,992.73,42.58
2020-04-15 08:54:59 - INFO: 308,308,30.4,26.06,992.68,42.02
2020-04-15 08:55:09 - INFO: 309,309,30.4,26.22,992.67,42.29
2020-04-15 08:55:19 - INFO: 310,310,30.4,26.15,992.67,42.81
2020-04-15 08:55:29 - INFO: 311,311,30.4,26.2,992.67,40.48
2020-04-15 08:55:39 - INFO: 312,312,30.4,26.24,992.66,42.19
2020-04-15 08:55:50 - INFO: 313,313,30.4,26.22,992.68,42.47
2020-04-15 08:56:00 - INFO: 314,314,30.4,26.27,992.66,42.56
2020-04-15 08:56:10 - INFO: 315,315,30.94,26.18,992.67,42.0
2020-04-15 08:56:20 - INFO: 316,316,30.4,26.2,992.69,42.76
2020-04-15 08:56:30 - INFO: 317,317,30.4,26.24,992.67,42.31
2020-04-15 08:56:40 - INFO: 318,318,30.4,26.24,992.66,42.44
2020-04-15 08:56:50 - INFO: 319,319,30.4,26.31,992.67,42.09
2020-04-15 08:57:00 - INFO: 320,320,30.4,26.15,992.68,41.85
2020-04-15 08:57:11 - INFO: 321,321,30.4,26.27,992.68,42.09
2020-04-15 08:57:21 - INFO: 322,322,30.4,26.26,992.65,42.73
2020-04-15 08:57:31 - INFO: 323,323,30.4,26.22,992.66,42.19
2020-04-15 08:57:41 - INFO: 324,324,30.4,26.24,992.68,42.39
2020-04-15 08:57:51 - INFO: 325,325,30.4,26.31,992.68,42.71
2020-04-15 08:58:01 - INFO: 326,326,30.4,26.27,992.65,42.52
2020-04-15 08:58:11 - INFO: 327,327,30.94,26.29,992.64,42.35
2020-04-15 08:58:21 - INFO: 328,328,30.4,26.29,992.7,42.49
2020-04-15 08:58:31 - INFO: 329,329,30.4,26.22,992.66,42.48
2020-04-15 08:58:42 - INFO: 330,330,30.4,26.26,992.64,42.53
2020-04-15 08:58:52 - INFO: 331,331,30.4,26.17,992.72,42.03
2020-04-15 08:59:02 - INFO: 332,332,30.4,26.22,992.71,41.94
2020-04-15 08:59:12 - INFO: 333,333,30.4,26.29,992.71,42.24
2020-04-15 08:59:22 - INFO: 334,334,29.86,26.22,992.68,42.18
2020-04-15 08:59:32 - INFO: 335,335,29.86,26.27,992.68,42.55
2020-04-15 08:59:42 - INFO: 336,336,30.4,26.27,992.68,42.45
2020-04-15 08:59:52 - INFO: 337,337,30.4,26.27,992.64,42.9
2020-04-15 09:00:03 - INFO: 338,338,30.4,26.22,992.65,42.08
2020-04-15 09:00:13 - INFO: 339,339,30.4,26.29,992.6,42.72
2020-04-15 09:00:23 - INFO: 340,340,30.94,26.27,992.6,42.42
2020-04-15 09:00:33 - INFO: 341,341,30.4,26.15,992.64,42.35
2020-04-15 09:00:43 - INFO: 342,342,30.4,26.22,992.65,42.45
2020-04-15 09:00:53 - INFO: 343,343,30.4,26.36,992.61,42.57
2020-04-15 09:01:03 - INFO: 344,344,29.86,26.31,992.69,42.21
2020-04-15 09:01:14 - INFO: 345,345,30.4,26.33,992.64,42.49
2020-04-15 09:01:24 - INFO: 346,346,30.4,26.29,992.66,42.51
2020-04-15 09:01:34 - INFO: 347,347,30.4,26.26,992.64,42.45
2020-04-15 09:01:44 - INFO: 348,348,30.4,26.15,992.65,42.37
2020-04-15 09:01:54 - INFO: 349,349,30.4,26.29,992.67,42.1
2020-04-15 09:02:04 - INFO: 350,350,30.4,26.29,992.64,42.65
2020-04-15 09:02:14 - INFO: 351,351,30.4,26.18,992.66,42.44
2020-04-15 09:02:24 - INFO: 352,352,30.4,26.33,992.64,42.73
2020-04-15 09:02:35 - INFO: 353,353,30.4,26.26,992.66,42.25
